"Id";"timestamp";"deviceId";"address";"valueInt";"time_id"
2864407;2026-03-07 23:55:00.983;131109;81;38;3251516
2864791;2026-03-07 23:55:00.983;131109;81;38;3251516
2864024;2026-03-07 23:55:00.750;131108;81;39;3251516
2864759;2026-03-07 23:50:01.076;131109;81;38;3251511
2864375;2026-03-07 23:50:01.076;131109;81;38;3251511
2863993;2026-03-07 23:50:00.823;131108;81;39;3251511
2864343;2026-03-07 23:45:01.483;131109;81;38;3251506
2864727;2026-03-07 23:45:01.483;131109;81;38;3251506
2863962;2026-03-07 23:45:00.710;131108;81;39;3251506
2864293;2026-03-07 23:40:00.986;131109;81;38;3251501
2864677;2026-03-07 23:40:00.986;131109;81;38;3251501
2863931;2026-03-07 23:40:00.726;131108;81;39;3251501
2864279;2026-03-07 23:35:01.180;131109;81;39;3251496
2864663;2026-03-07 23:35:01.180;131109;81;39;3251496
2863900;2026-03-07 23:35:00.926;131108;81;39;3251496
2864247;2026-03-07 23:30:01.030;131109;81;39;3251491
2864631;2026-03-07 23:30:01.030;131109;81;39;3251491
2863869;2026-03-07 23:30:00.780;131108;81;39;3251491
2864215;2026-03-07 23:25:01.090;131109;81;38;3251486
2864599;2026-03-07 23:25:01.090;131109;81;38;3251486
2863838;2026-03-07 23:25:00.826;131108;81;39;3251486
2864183;2026-03-07 23:20:00.936;131109;81;38;3251481
2864567;2026-03-07 23:20:00.936;131109;81;38;3251481
2863807;2026-03-07 23:20:00.646;131108;81;37;3251481
2864151;2026-03-07 23:15:01.143;131109;81;39;3251476
2864535;2026-03-07 23:15:01.143;131109;81;39;3251476
2863776;2026-03-07 23:15:00.873;131108;81;35;3251476
2864503;2026-03-07 23:10:01.103;131109;81;38;3251471
2864119;2026-03-07 23:10:01.103;131109;81;38;3251471
2863745;2026-03-07 23:10:00.860;131108;81;36;3251471
2864087;2026-03-07 23:05:01.020;131109;81;38;3251466
2864471;2026-03-07 23:05:01.020;131109;81;38;3251466
2863714;2026-03-07 23:05:00.763;131108;81;39;3251466
2863683;2026-03-07 23:00:01.283;131109;81;39;3251461
2863274;2026-03-07 23:00:01.283;131109;81;39;3251461
2862890;2026-03-07 23:00:00.810;131108;81;39;3251461
2863242;2026-03-07 22:55:01.153;131109;81;38;3251456
